ROM Name,Genre,Publisher
Paladin's Quest.sfc,RPG,Unknown Publisher
Space Ace.smc,Action,Digital Leisure
Star Trek - Deep Space Nine - Crossroads of Time.smc,Adventure,Playmates Interactive Entertainment
Super Adventure Island.smc,Platformer,Unknown Publisher
Super Star Wars.smc,Action,Disney Interactive Studios
"The Untouchables.smc",Action,Unknown Publisher
Wayne's World.smc,Action,Capstone Software
Arcana.sfc,RPG,HuneX
Equinox.smc,RPG,Jennahveer
Realm.smc,RPG,Unknown Publisher
3 Ninjas Kick Back.smc,Beat em up,Malibu Interactive
Asterix & Obelix.sfc,Beat em up,"Atari, Inc."
Asterix.sfc,Beat em up,"Atari, Inc."
Bonkers.smc,Platformer,Milkbar Lads
Captain America and the Avengers.smc,Beat em up,Realtime Associates
"The Combatribes.smc",Beat em up,Aksys Games
"The Death and Return of Superman.sfc",Beat em up,SUNSOFT
Sonic Blast Man II.sfc,Beat em up,Taito
Sonic Blast Man.smc,Beat em up,Taito
Stone Protectors.smc,Beat em up,Piko Interactive
Super Double Dragon.smc,Beat em up,Tiger Electronics
Teenage Mutant Ninja Turtles IV - Turtles in Time.smc,Beat em up,Konami
"The Tick.smc",Beat em up,Software Creations
Timecop.smc,Beat em up,JVC
Dennis the Menace.smc,Platformer,Systema
Desert Strike - Return to the Gulf.smc,Shooter,Malibu Interactive
"The Hunt for Red October.smc",Action,Walking Circles
"The Ignition Factor.smc",Action,HAMSTER
Pac-Attack.smc,Puzzle,Namco
Paperboy 2.smc,Action,Tiger Electronics
Sink or Swim.smc,Action,Zeppelin Games
Super Off Road.sfc,Racing,Tiger Electronics
Vortex.smc,Action,Apple
Williams Arcade's Greatest Hits.smc,Arcade,Williams Electronics
Zoop.smc,Puzzle,Garret Hale
90 Minutes European Prime Goal.sfc,Sports,Namco
ABC Monday Night Football.smc,Sports,Data East
Andre Agassi Tennis.sfc,Sports,TecMagik
Bass Masters Classic - Pro Edition.smc,Sports,Malibu Games
Bass Masters Classic.smc,Sports,THQ Inc.
Bill Laimbeer's Combat Basketball.smc,Sports,Hewson Consultants
Bill Walsh College Football.smc,Sports,Electronic Arts
Brett Hull Hockey '95.smc,Sports,Accolade
Brett Hull Hockey.smc,Sports,Accolade
Brunswick World - Tournament of Champions.smc,Sports,Black Pearl Software
Bulls versus Blazers and the NBA Playoffs.smc,Sports,Unknown Publisher
Cal Ripken Jr. Baseball.smc,Sports,Unknown Publisher
Capcom's MVP Football.smc,Sports,Unknown Publisher
Capcom's Soccer Shootout.smc,Sports,A-Max
Champions World Class Soccer.smc,Sports,Park Place Productions
Championship Pool.smc,Sports,Blade Interactive
Championship Soccer '94.smc,Sports,Sony Imagesoft
College Slam.smc,Sports,KIRA
David Crane's Amazing Tennis.smc,Sports,Absolute Entertainment
Dig & Spike Volleyball.smc,Sports,Tonkin House
Dino Dini's Soccer!.sfc,Sports,"Virgin Interactive Entertainment, Inc."
Elite Soccer.smc,Sports,Elite Systems
Emmitt Smith Football.smc,Sports,Unknown Publisher
ESPN Baseball Tonight.smc,Sports,Sony Imagesoft
ESPN National Hockey Night.smc,Sports,Unknown Publisher
ESPN Sunday Night NFL.smc,Sports,Sony Imagesoft
Extra Innings.sfc,Sports,Unknown Publisher
FIFA 98 - Road to World Cup.sfc,Sports,EA Canada
FIFA International Soccer.smc,Sports,Electronic Arts
FIFA Soccer '96.smc,Sports,EA Sports
Foreman For Real.smc,Sports,Software Creations
Frank Thomas' Big Hurt Baseball.smc,Sports,Realtime Associates
Goal!.smc,Sports,SNK
HammerLock Wrestling.sfc,Sports,Unknown Publisher
Hardball III.smc,Sports,Unknown Publisher
Head-On Soccer.smc,Sports,U.S. Gold
International Superstar Soccer Deluxe.smc,Sports,Konami Computer Entertainment Osaka
International Superstar Soccer.sfc,Sports,Konami
International Tennis Tour.smc,Sports,Unknown Publisher
"The Irem Skins Game.smc",Sports,Irem
Jammit.smc,Sports,Unknown Publisher
Jimmy Connors Pro Tennis Tour.smc,Sports,Blue Byte Software GmbH
Jimmy Houston's Bass Tournament U.S.A..smc,Sports,Unknown Publisher
John Madden Football.smc,Sports,Unknown Publisher
Ken Griffey Jr. Presents Major League Baseball.smc,Sports,Nintendo
Ken Griffey Jr.'s Winning Run.smc,Sports,Nintendo
Kick Off 3 - European Challenge.sfc,Sports,Anco Software Ltd.
Kick Off.sfc,Sports,U.S. Gold
Looney Tunes B-Ball.smc,Sports,Sculptured Software
Madden NFL '97.smc,Sports,Black Pearl Software
Madden NFL '98.smc,Sports,EA Sports
Manchester United Championship Soccer.sfc,Sports,Unknown Publisher
Mark Davis' The Fishing Master.smc,Sports,Unknown Publisher
Mecarobot Golf.smc,Sports,Unknown Publisher
Mega Man Soccer.smc,Sports,Capcom
MLBPA Baseball.smc,Sports,Unknown Publisher
Mountain Bike Rally.smc,Sports,Unknown Publisher
NBA All-Star Challenge.smc,Sports,LJN Toys
NBA Give 'N Go.smc,Sports,Konami
NBA Hang Time.smc,Sports,Midway
NBA Jam - Tournament Edition.smc,Sports,High Voltage Software
NBA Jam.smc,Sports,Unknown Publisher
NBA Live 95.smc,Sports,Hitmen Productions
NBA Live 96.smc,Sports,Unknown Publisher
NBA Live 97.smc,Sports,Tec Toy
NBA Live 98.smc,Sports,Tiger Electronics
NBA Showdown.smc,Sports,Electronic Arts
NCAA Basketball.smc,Sports,Sculptured Software
NCAA Final Four Basketball.smc,Sports,Unknown Publisher
NCAA Football.sfc,Sports,EA Sports
NFL Football.smc,Sports,Konami
NFL Quarterback Club '96.smc,Sports,Iguana Entertainment
